Distrito,Desempleo_Pct,Pobreza_Pct,Iluminacion_Publica,Presencia_Policial,Camaras_Vigilancia,Pandillaje_Indice,Trafico_Drogas_Indice,Violencia_Familiar_Pct,Informalidad_Laboral_Pct,Abandono_Escolar_Pct,Percepcion_Inseguridad,Hora_Evento,Tipo_Evento
San Martín de Porres,16.54,12.34,86.78,3.19,82,1.0,4.59,11.34,30.0,13.37,1.51,23,Microcomercializacion Drogas
Villa María del Triunfo,3.01,44.69,77.05,3.25,88,2.91,6.12,5.91,40.45,7.96,5.1,14,Asalto
San Martín de Porres,19.71,23.67,91.6,3.56,72,0.65,9.49,29.04,76.59,6.79,1.88,19,Hurto
San Martín de Porres,13.37,38.33,50.4,2.26,49,6.63,3.12,16.56,58.27,4.51,9.73,11,Homicidio
Ate,13.16,41.87,45.31,1.38,61,3.25,3.89,9.6,78.01,7.78,3.53,12,Robo
San Juan de Lurigancho,3.27,21.94,63.69,1.82,62,8.15,7.07,22.41,73.99,2.41,4.23,8,Homicidio
Callao,13.6,18.24,43.81,1.9,87,6.66,5.91,9.69,59.29,8.28,9.75,2,Pandillaje
Cercado de Lima,7.01,15.24,42.43,3.7,89,0.25,1.08,2.88,64.55,6.97,5.58,4,Robo
Ate,19.03,28.95,81.69,4.46,41,8.08,6.33,26.4,76.26,4.54,9.03,10,Hurto
San Martín de Porres,18.23,17.72,46.6,1.53,61,0.01,3.53,10.53,31.53,11.15,5.36,0,Robo
Independencia,19.03,17.93,71.13,3.66,61,9.72,9.62,9.05,54.81,6.72,3.56,16,Hurto
Comas,11.55,7.06,56.72,4.59,18,6.81,5.31,14.54,58.7,12.26,1.73,23,Hurto
Villa María del Triunfo,9.25,30.29,78.01,2.91,15,8.35,3.21,7.22,22.85,12.23,7.1,18,Pandillaje
Los Olivos,8.93,8.85,96.43,2.29,38,9.37,1.38,11.55,27.94,18.57,8.9,2,Hurto
Cercado de Lima,19.7,25.67,55.65,4.98,11,5.58,8.83,7.28,39.52,14.31,8.62,19,Microcomercializacion Drogas
Independencia,18.09,39.04,96.14,4.03,83,5.81,3.72,28.32,88.16,6.39,3.75,1,Violencia Familiar
Callao,5.99,5.72,69.63,1.3,7,8.49,6.58,17.91,26.56,7.99,3.39,13,Pandillaje
Villa María del Triunfo,9.68,40.68,77.87,4.08,29,6.45,6.69,26.2,36.11,10.48,6.15,16,Robo
Villa El Salvador,18.02,34.91,97.18,1.99,45,9.67,9.64,25.88,40.61,8.32,8.66,2,Robo
Callao,9.71,38.77,95.8,0.82,31,6.71,3.59,9.12,40.67,7.13,8.64,8,Violencia Familiar
San Martín de Porres,7.99,37.37,88.61,4.4,12,0.82,0.05,19.58,33.6,2.35,4.57,13,Homicidio
San Martín de Porres,3.47,28.15,66.31,3.52,50,4.66,5.43,10.02,61.36,1.58,1.34,5,Hurto
Villa El Salvador,11.88,35.8,52.95,3.3,67,8.42,1.94,13.52,68.97,3.63,2.19,17,Asalto
Los Olivos,16.52,15.83,66.34,0.85,89,9.63,8.36,21.49,48.63,4.29,2.41,1,Hurto
Villa María del Triunfo,15.15,31.41,56.8,4.8,63,5.54,6.12,13.75,37.34,7.76,7.82,13,Robo
San Juan de Lurigancho,8.29,44.18,50.52,0.58,89,4.92,4.73,6.85,50.37,8.57,6.54,4,Microcomercializacion Drogas
Ate,9.37,30.03,70.19,4.35,68,6.84,6.16,28.43,86.1,17.48,6.73,19,Violencia Familiar
Comas,12.75,10.14,88.67,4.19,11,3.86,9.61,27.35,33.71,2.32,1.91,1,Robo
Comas,14.61,7.85,59.14,4.3,89,3.41,2.61,15.89,68.5,7.62,9.43,23,Pandillaje
Villa El Salvador,19.45,26.92,65.41,3.06,98,9.91,4.13,12.42,74.35,7.48,9.38,4,Robo
San Martín de Porres,15.76,35.18,46.19,4.56,61,4.97,3.9,10.33,27.0,2.02,9.63,18,Robo
San Martín de Porres,19.27,32.07,68.95,2.72,15,4.48,2.93,11.2,67.08,15.3,8.12,6,Robo
Cercado de Lima,19.56,44.84,43.35,3.82,92,3.51,1.17,6.0,73.31,12.75,1.91,6,Hurto
Independencia,4.24,37.87,82.37,0.87,36,2.33,5.81,26.17,81.63,5.5,9.17,12,Pandillaje
Villa María del Triunfo,15.04,24.27,62.68,3.67,73,9.06,1.11,15.79,20.79,9.9,1.51,7,Robo
Callao,15.65,32.24,54.25,2.3,24,8.69,2.24,28.97,20.85,19.43,1.39,20,Robo
Villa El Salvador,19.88,7.95,73.23,4.86,17,1.66,2.17,10.25,89.71,14.24,4.46,22,Robo
Cercado de Lima,19.16,40.61,67.34,3.29,7,1.7,6.47,12.87,36.06,6.05,4.24,3,Homicidio
Villa María del Triunfo,3.55,16.19,64.67,3.21,28,1.33,0.76,28.33,49.16,12.04,9.27,9,Homicidio
Comas,12.38,11.59,64.68,4.0,17,9.87,1.5,18.64,46.66,19.43,8.58,12,Robo
Callao,10.05,15.94,43.38,4.39,80,5.34,7.5,27.57,60.96,14.8,7.81,18,Asalto
Callao,5.2,43.16,76.37,1.53,31,0.47,2.69,2.62,54.87,10.05,8.48,17,Pandillaje
Villa María del Triunfo,19.46,8.54,87.51,3.15,46,4.21,7.85,19.9,76.35,18.16,6.56,1,Asalto
Comas,13.82,27.19,45.46,3.77,37,4.51,9.1,10.34,56.65,14.26,8.17,9,Homicidio
Cercado de Lima,16.07,7.65,42.75,3.29,65,3.29,6.33,8.72,25.31,3.45,2.15,10,Robo
Independencia,6.06,32.86,64.7,4.43,26,6.68,1.72,7.38,22.86,4.21,3.51,21,Robo
San Juan de Lurigancho,12.09,19.24,93.65,1.08,89,6.9,0.39,24.38,63.95,2.55,8.86,15,Robo
Cercado de Lima,17.76,8.38,75.84,4.94,46,3.7,4.85,19.31,45.82,9.79,7.73,13,Robo
Los Olivos,15.13,40.81,70.7,2.89,17,4.47,5.33,8.79,38.85,8.17,1.18,16,Robo
Cercado de Lima,12.1,14.33,60.58,2.63,9,7.89,4.98,4.43,57.6,12.15,7.71,16,Violencia Familiar
